PropertyBritish,Word,DominantModality,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,ModalityExclusivity,Classes3,Uncertainty3,Classes,Uncertainty,Class,Color,Image
abrasive,abrasive,Haptic,2.894736842,3.684210526,1.684210526,0.578947368,0.578947368,0.329608939,1,0.07714372771630207,12,0.4454421691715108,gross surface,#f79038,s2
absorbent,absorbent,Visual,4.142857143,3.142857143,0.714285714,0.476190476,0.476190476,0.409574468,1,0.07668931154170622,12,0.16541929027347502,gross surface,#f79038,s2
aching,aching,Haptic,2.047619048,3.666666667,0.666666667,0.047619048,0.095238095,0.554744526,1,0.07192820453753845,1,0.046865180806554885,motion & touch,#f37058,s1
acidic,acidic,Gustatory,2.19047619,1.142857143,0.476190476,4.19047619,2.904761905,0.340611354,2,0,3,0.44960842949201274,chemical senses,#425fac,s4
acrid,acrid,Olfactory,1.125,0.625,0.375,3,3.5,0.362318841,2,0,3,4.298975961902762e-5,chemical senses,#425fac,s4
adhesive,adhesive,Haptic,3.666666667,4.333333333,1.19047619,0.904761905,1.761904762,0.289156627,2,0.0758501114304635,5,5.17241682457481e-4,multimodal,#f37058,s1
alcoholic,alcoholic,Gustatory,2.85,0.35,0.75,4.35,4.3,0.317460317,2,0,6,0.001730195790320077,taste,#425fac,s4
alive,alive,Visual,4.571428571,3.80952381,4.095238095,1.571428571,2.380952381,0.182608696,1,0.3559522494992482,5,1.9793507621823636e-7,multimodal,#f37058,s1
amber,amber,Visual,4.476190476,0.523809524,0.142857143,0.571428571,0.857142857,0.65942029,2,0.313660300251694,7,0.013659071734546613,impression-related,#f37058,s1
angular,angular,Visual,4.285714286,4.095238095,0.25,0.047619048,0.047619048,0.485675307,1,0.07000098247625985,9,0.010031352746384226,shape & extent,#f37058,s1
antiseptic,antiseptic,Olfactory,1.666666667,0.9,0.142857143,1.761904762,3.952380952,0.4522329,2,0,3,6.74964667080391e-4,chemical senses,#425fac,s4
aromatic,aromatic,Olfactory,1.3,0.333333333,0.285714286,3.380952381,4.523809524,0.431410567,2,0,3,0.02256980031320155,chemical senses,#425fac,s4
astringent,astringent,Gustatory,1.625,0.5,0.375,1.75,1.25,0.25,2,5.252174695158374e-9,3,0.005215523373182651,chemical senses,#425fac,s4
audible,audible,Auditory,1.142857143,0.285714286,4.952380952,0.047619048,0.047619048,0.757352941,3,7.670121093816817e-9,10,0.002099571862102634,sound 1,#efbe1b,s3
banging,banging,Auditory,3.047619048,1.333333333,4.523809524,0,0.047619048,0.505319149,3,5.1441282137743016e-5,11,1.7615942059323597e-4,sound 2,#efbe1b,s3
barbecued,barbecued,Gustatory,4.619047619,1.380952381,1.571428571,4.952380952,4.666666667,0.207756233,2,0,6,0.12584069786013963,taste,#425fac,s4
barking,barking,Auditory,3.380952381,0.476190476,5,0.142857143,0.523809524,0.51,3,7.215832739104755e-6,11,0.003676516606139879,sound 2,#efbe1b,s3
beautiful,beautiful,Visual,4.619047619,2.761904762,2.904761905,2.80952381,2.80952381,0.116766467,2,7.525233913785456e-8,5,2.220446049250313e-16,multimodal,#f37058,s1
beeping,beeping,Auditory,1.428571429,0.142857143,4.857142857,0,0.047619048,0.75,3,1.3669738896382455e-8,10,0.001994977875777404,sound 1,#efbe1b,s3
beery,beery,Gustatory,3.157894737,0.894736842,0.631578947,4.263157895,3.526315789,0.291139241,2,0,6,0.006106213001402572,taste,#425fac,s4
beige,beige,Visual,4.476190476,0.095238095,0.095238095,0.047619048,0.095238095,0.920792079,1,0.07036449763181929,8,5.221339320383711e-4,pure sight,#f37058,s1
bent,bent,Visual,4.619047619,4.095238095,0,0.047619048,0,0.527173913,1,0.089916118809656,9,0.006318572236739595,shape & extent,#f37058,s1
big,big,Visual,4.857142857,4.380952381,1.714285714,0.857142857,0.428571429,0.361867704,1,0.0630288790164123,12,0.001427613914281034,gross surface,#f79038,s2
biscuity,biscuity,Gustatory,3.476190476,2.238095238,0.904761905,4.952380952,3,0.277777778,2,0,6,0.05231977227922091,taste,#425fac,s4
bitter,bitter,Gustatory,0.857142857,0.095238095,0.19047619,4.904761905,2.904761905,0.537234043,2,0,3,1.3203877705236788e-4,chemical senses,#425fac,s4
black,black,Visual,4.571428571,0.095238095,0.142857143,0.095238095,0.142857143,0.886792453,1,0.07245361409455908,8,3.081642972819765e-4,pure sight,#f37058,s1
bland,bland,Gustatory,2.095238095,0.428571429,0.80952381,4.80952381,3.619047619,0.372469636,2,0,6,0.0015739305004889292,taste,#425fac,s4
blaring,blaring,Auditory,1.3,0.45,4.5,0.2,0.2,0.646616541,3,1.2023927831172898e-7,11,0.0044070461920547865,sound 2,#efbe1b,s3
bleeping,bleeping,Auditory,1.666666667,0.19047619,4.952380952,0.095238095,0.142857143,0.689189189,3,2.577514757184929e-8,10,0.0018662750281058793,sound 1,#efbe1b,s3
blonde,blonde,Visual,4.80952381,0.047619048,0.19047619,0.047619048,0.142857143,0.909090909,1,0.06059596476626983,8,2.1826825660664628e-4,pure sight,#f37058,s1
bloody,bloody,Visual,4.714285714,1.857142857,0.7,1.285714286,1.142857143,0.413843888,2,0.060581947562314276,7,0.2890319962226048,impression-related,#f37058,s1
blotchy,blotchy,Visual,4.619047619,1.666666667,0.428571429,0.380952381,0.238095238,0.597402597,1,0.06490033190175037,8,0.1826096469162558,pure sight,#f37058,s1
blue,blue,Visual,4.761904762,0.238095238,0.761904762,0,0.19047619,0.8,1,0.05609427518068921,8,9.194705087742783e-4,pure sight,#f37058,s1
blunt,blunt,Haptic,4.571428571,4.714285714,0.904761905,0.25,0.19047619,0.425531915,1,0.0909922473900937,1,0.2739141315789628,motion & touch,#f37058,s1
boiling,boiling,Visual,4.428571429,4.047619048,2.761904762,2.095238095,1,0.239202658,1,0.26607538410009013,12,0.24596414293369484,gross surface,#f79038,s2
booming,booming,Auditory,2.095238095,0.952380952,4.571428571,0.095238095,0.095238095,0.573170732,3,8.584145542167576e-7,11,1.4888787609690368e-5,sound 2,#efbe1b,s3
bouncy,bouncy,Haptic,3.571428571,3.666666667,2,0,0,0.396907216,1,0.21398786418267968,1,0.05358531725215776,motion & touch,#f37058,s1
brackish,brackish,Haptic,2,3,1.5,1.5,2,0.15,2,4.604551373188492e-6,5,3.9477604431570334e-05,multimodal,#f37058,s1
branching,branching,Visual,4.1,2.45,1.2,0.05,0.1,0.512658228,1,0.0636357776983999,1,0.0015773032942308918,motion & touch,#f37058,s1
