"Word","Noun","Freq"
"abrasive","action",1
"abrasive","angle",1
"abrasive","approach",1
"abrasive","ash",2
"abrasive","behavior",1
"abrasive","blade",1
"abrasive","block",1
"abrasive","board",1
"abrasive","bundle",1
"abrasive","capability",1
"abrasive","chapter",1
"abrasive","character",1
"abrasive","chief",2
"abrasive","chutzpah",1
"abrasive","cleanser",2
"abrasive","cloth",1
"abrasive","cockiness",1
"abrasive","conduct",2
"abrasive","confrontation",1
"abrasive","conjunction",1
"abrasive","contact",1
"abrasive","damage",1
"abrasive","disc",1
"abrasive","disruption",1
"abrasive","dust",1
"abrasive","encounter",1
"abrasive","file",1
"abrasive","grit",2
"abrasive","guy",1
"abrasive","host",1
"abrasive","insider",1
"abrasive","leaf",1
"abrasive","lyric",1
"abrasive","man",1
"abrasive","manner",3
"abrasive","material",2
"abrasive","monitor",1
"abrasive","monotony",1
"abrasive","na-ture",1
"abrasive","pad",4
"abrasive","paper",1
"abrasive","personality",3
"abrasive","phrase",1
"abrasive","process",2
"abrasive","processing",5
"abrasive","product",1
"abrasive","quality",2
"abrasive","realism",1
"abrasive","resistance",1
"abrasive","roar",1
"abrasive","sandstone",2
"abrasive","scrubbing",1
"abrasive","slurry",1
"abrasive","stone",1
"abrasive","style",5
"abrasive","successor",1
"abrasive","sunlight",1
"abrasive","tape",1
"abrasive","toughness",1
"abrasive","trek",1
"abrasive","wad",1
"abrasive","warble",1
"abrasive","washcloth",1
"abrasive","way",2
"abrasive","wheel",2
"absorbent","boom",1
"absorbent","cloth",2
"absorbent","compound",1
"absorbent","cotton",1
"absorbent","dirt",1
"absorbent","filter",1
"absorbent","finish",1
"absorbent","frame",1
"absorbent","hero",1
"absorbent","material",7
"absorbent","memory",1
"absorbent","mind",2
"absorbent","mixture",1
"absorbent","pad",1
"absorbent","padding",2
"absorbent","paper",4
"absorbent","paper-cloth",1
"absorbent","popcorn",1
"absorbent","product",1
"absorbent","quality",1
"absorbent","sand",1
"absorbent","sheet",3
"absorbent","skirt",1
"absorbent","sponge",1
"absorbent","surface",4
"aching","absence",1
"aching","adoration",1
"aching","alertness",1
"aching","ankle",2
"aching","awareness",1
"aching","back",18
"aching","ball",1
"aching","beauty",2
"aching","bladder",1
"aching","blandness",1
"aching","body",13
"aching","brain",1
"aching","breath",2
