Modality,Word,Instrument,POS
Visual,amaranth,no,Noun
Visual,beige,no,Noun
Visual,black,no,Noun
Visual,blue,no,Noun
Visual,bronze,no,Noun
Visual,brown,no,Noun
Visual,carmine,no,Noun
Visual,color,no,Noun
Visual,coloration,no,Noun
Visual,crimson,no,Noun
Visual,cyan,no,Noun
Visual,eye,no,Noun
Visual,gaze,no,Noun
Visual,glance,no,Noun
Visual,glare,no,Noun
Visual,gleam,no,Noun
Visual,glimpse,no,Noun
Visual,glint,no,Noun
Visual,glisten,no,Noun
Visual,glitter,no,Noun
Visual,glower,no,Noun
Visual,gray,no,Noun
Visual,green,no,Noun
Visual,image,no,Noun
Visual,indigo,no,Noun
Visual,look,no,Noun
Visual,magenta,no,Noun
Visual,moonlight,no,Noun
Visual,obscurity,no,Noun
Visual,orange,no,Noun
Visual,photo,no,Noun
Visual,picture,no,Noun
Visual,pink,no,Noun
Visual,purple,no,Noun
Visual,red,no,Noun
Visual,reflection,no,Noun
Visual,scarlet,no,Noun
Visual,shade,no,Noun
Visual,shadow,no,Noun
Visual,shimmer,no,Noun
Visual,shine,no,Noun
Visual,sight,no,Noun
Visual,sunlight,no,Noun
Visual,translucency,no,Noun
Visual,turquoise,no,Noun
Visual,violet,no,Noun
Visual,white,no,Noun
Visual,whiteness,no,Noun
Visual,yellow,no,Noun
Visual,behold,no,Verb
Visual,descry,no,Verb
Visual,espy,no,Verb
Visual,gape,no,Verb
Visual,gawk,no,Verb
Visual,gawp,no,Verb
Visual,gleam,no,Verb
Visual,glint,no,Verb
Visual,glisten,no,Verb
Visual,glitter,no,Verb
Visual,gloat,no,Verb
Visual,goggle,no,Verb
Visual,leer,no,Verb
Visual,ogle,no,Verb
Visual,peep,no,Verb
Visual,see,no,Verb
Visual,shadow,no,Verb
Visual,shimmer,no,Verb
Visual,shine,no,Verb
Visual,stare,no,Verb
Visual,watch,no,Verb
Visual,amaranth,no,Adj
Visual,amber,no,Adj
Visual,beige,no,Adj
Visual,black,no,Adj
Visual,blackish,no,Adj
Visual,blonde,no,Adj
Visual,blue,no,Adj
Visual,bluish,no,Adj
Visual,blurred,no,Adj
Visual,bright,no,Adj
Visual,brilliant,no,Adj
Visual,bronze,no,Adj
Visual,brown,no,Adj
Visual,brownish,no,Adj
Visual,burgundy,no,Adj
Visual,carmine,no,Adj
Visual,chromatic,no,Adj
Visual,clear,no,Adj
Visual,colored,no,Adj
Visual,colorless,no,Adj
Visual,crimson,no,Adj
Visual,cyan,no,Adj
Visual,dark,no,Adj
Visual,dazzling,no,Adj
Visual,dim,no,Adj
Visual,dull,no,Adj
Visual,emerald,no,Adj
Visual,fluorescent,no,Adj
Visual,golden,no,Adj
Visual,gray,no,Adj
Visual,green,no,Adj
Visual,greenish,no,Adj
Visual,greyish,no,Adj
Visual,illuminated,no,Adj
Visual,immaculate,no,Adj
Visual,indigo,no,Adj
Visual,iridescent,no,Adj
Visual,magenta,no,Adj
Visual,matt,no,Adj
Visual,multicolored,no,Adj
Visual,nebulous,no,Adj
Visual,ocher,no,Adj
Visual,orange,no,Adj
Visual,pale,no,Adj
Visual,pearly,no,Adj
Visual,phosphorescent,no,Adj
Visual,pink,no,Adj
Visual,pinkish,no,Adj
Visual,polished,no,Adj
Visual,purple,no,Adj
Visual,radiant,no,Adj
Visual,red,no,Adj
Visual,reddish,no,Adj
Visual,scarlet,no,Adj
Visual,shady,no,Adj
Visual,shining,no,Adj
Visual,shiny,no,Adj
Visual,silvery,no,Adj
Visual,solar,no,Adj
Visual,suffused,no,Adj
Visual,sunny,no,Adj
Visual,translucent,no,Adj
Visual,transparent,no,Adj
Visual,turquoise,no,Adj
Visual,vermilion,no,Adj
Visual,violaceous,no,Adj
Visual,violet,no,Adj
Visual,visual,no,Adj
Visual,vivid,no,Adj
Visual,white,no,Adj
Visual,whitish,no,Adj
Visual,yellow,no,Adj
Visual,yellowish,no,Adj
Auditory,accordion,yes,Noun
Auditory,babble,no,Noun
Auditory,bang,no,Noun
Auditory,banjo,yes,Noun
Auditory,bass,yes,Noun
Auditory,bell,yes,Noun
Auditory,birr,no,Noun
Auditory,blare,no,Noun
Auditory,bleep,no,Noun
Auditory,boom,no,Noun
Auditory,brattle,no,Noun
Auditory,burble,no,Noun
Auditory,buzz,no,Noun
Auditory,castanet,yes,Noun
Auditory,cello,yes,Noun
Auditory,chatter,no,Noun
Auditory,chime,no,Noun
Auditory,chug,no,Noun
Auditory,cithara,yes,Noun
Auditory,clamor,no,Noun
Auditory,clang,no,Noun
Auditory,clangor,no,Noun
Auditory,clank,no,Noun
Auditory,clap,no,Noun
Auditory,clash,no,Noun
Auditory,clink,no,Noun
Auditory,clop,no,Noun
Auditory,clump,no,Noun
Auditory,clunk,no,Noun
Auditory,concert,no,Noun
Auditory,contrabass,yes,Noun
Auditory,crack,no,Noun
Auditory,crackle,no,Noun
Auditory,crackling,no,Noun
Auditory,creak,no,Noun
Auditory,crunch,no,Noun
Auditory,deflagration,no,Noun
Auditory,detonation,no,Noun
Auditory,ding,no,Noun
Auditory,dingdong,no,Noun
Auditory,dong,no,Noun
Auditory,drone,no,Noun
Auditory,drum,yes,Noun
Auditory,echo,no,Noun
Auditory,fiddle,yes,Noun
Auditory,fife,no,Noun
Auditory,flute,yes,Noun
Auditory,glug,no,Noun
Auditory,groan,no,Noun
Auditory,grumble,no,Noun
Auditory,grunt,no,Noun
Auditory,guggle,no,Noun
Auditory,guitar,yes,Noun
Auditory,harmonica,yes,Noun
Auditory,harp,yes,Noun
Auditory,honk,no,Noun
Auditory,howl,no,Noun
Auditory,hum,no,Noun
Auditory,hustle,no,Noun
Auditory,hymn,no,Noun
Auditory,jangle,no,Noun
Auditory,jazz,no,Noun
Auditory,jingle,no,Noun
Auditory,lute,yes,Noun
Auditory,mandolin,yes,Noun
Auditory,melody,no,Noun
Auditory,meow,no,Noun
Auditory,moo,no,Noun
Auditory,murmur,no,Noun
Auditory,music,no,Noun
Auditory,noise,no,Noun
Auditory,noiselessness,no,Noun
Auditory,orchestra,no,Noun
Auditory,organ,yes,Noun
Auditory,patter,no,Noun
Auditory,peal,no,Noun
Auditory,percussion,yes,Noun
Auditory,piano,yes,Noun
Auditory,pianola,yes,Noun
Auditory,ping,no,Noun
Auditory,plunk,no,Noun
Auditory,polka,no,Noun
Auditory,purl,no,Noun
Auditory,purr,no,Noun
Auditory,rattle,no,Noun
Auditory,ring,no,Noun
Auditory,ripple,no,Noun
Auditory,roar,no,Noun
Auditory,roaring,no,Noun
Auditory,rumble,no,Noun
Auditory,rustle,no,Noun
Auditory,saxophone,yes,Noun
Auditory,screak,no,Noun
Auditory,scream,no,Noun
Auditory,screech,no,Noun
Auditory,shout,no,Noun
Auditory,silence,no,Noun
Auditory,sing,no,Noun
Auditory,sizzle,no,Noun
Auditory,skriech,no,Noun
Auditory,snarl,no,Noun
Auditory,song,no,Noun
Auditory,sonority,no,Noun
Auditory,sound,no,Noun
Auditory,soundlessness,no,Noun
Auditory,splash,no,Noun
Auditory,squawk,no,Noun
Auditory,squeak,no,Noun
Auditory,squelch,no,Noun
Auditory,symphony,no,Noun
Auditory,tambour,yes,Noun
Auditory,thrum,no,Noun
Auditory,thud,no,Noun
Auditory,thunder,no,Noun
Auditory,tick,no,Noun
Auditory,ticking,no,Noun
Auditory,ting,no,Noun
Auditory,tinkle,no,Noun
Auditory,tootle,no,Noun
Auditory,trumpet,yes,Noun
Auditory,tune,no,Noun
Auditory,twang,no,Noun
Auditory,viola,yes,Noun
Auditory,violin,yes,Noun
Auditory,voice,no,Noun
Auditory,warble,no,Noun
