WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Modality,AnyPositive,AllEqual
spillover__n,0,0,0,0,0.073508316,spillover,n,Haptic,yes,no
stories__n,-0.103374061,-0.088775814,0,0,-0.104762923,stories,n,Gustatory,no,no
forced__a,0.032528683,-0.018304463,0,0,-0.028777012,forced,a,Visual,yes,no
knickers__n,0.027680334,1.45E-05,-0.037413033,0.055749671,-0.035561386,knickers,n,Olfactory,yes,no
visceral__a,-0.007452859,0,0.02533455,0,0,visceral,a,Gustatory,yes,no
straightaway__a,0,0.012975747,0.0745822,0,0.051785361,straightaway,a,Gustatory,yes,no
observe__v,0.131838923,-0.052847043,-0.065608879,-0.082638645,-0.054249181,observe,v,Visual,yes,no
guards__n,-0.023776844,0.012975747,0,0,0.038184947,guards,n,Haptic,yes,no
thriving__a,-0.030749046,-0.060117883,0.01950846,0,-0.076878815,thriving,a,Gustatory,yes,no
restraint__n,0.047155329,-0.102942896,-0.043170972,0,-0.093908043,restraint,n,Visual,yes,no
imminent__a,0.028697013,-0.012434219,-0.048837319,0,-0.029733394,imminent,a,Visual,yes,no
devotee__n,-0.023540282,-0.005359473,-0.062192942,0,-0.037645796,devotee,n,Olfactory,no,no
rivet__v,-0.026611111,0,0.006176298,0,-0.027999974,rivet,v,Gustatory,no,no
desperation__n,-0.037174685,0.024209538,-0.07482982,0,0.029078687,desperation,n,Haptic,yes,no
healthy__a,0.006602295,-0.004485847,-0.007762798,0,0.012981744,healthy,a,Haptic,yes,no
puritanical__a,0.036805779,0,0,0,-0.012442341,puritanical,a,Visual,yes,no
objectively__r,0.037292494,-0.000723183,0,0,0,objectively,r,Visual,yes,no
prodigiously__r,0,0.103905516,0,0,0,prodigiously,r,Auditory,yes,no
interviewer__n,-0.069937136,0.00380137,-0.037149726,0,0.001981288,interviewer,n,Auditory,no,no
find__v,-0.025080382,-0.010638477,-0.010283264,-0.064270887,-0.023225049,find,v,Gustatory,no,no
noncombatant__n,0.063326045,0.052529479,0,0,0,noncombatant,n,Visual,yes,no
satrap__n,0.046551219,0,0.131572337,0,0,satrap,n,Gustatory,yes,no
ing__n,0.029212863,0.002807189,-0.054844288,0,-0.006101572,ing,n,Visual,yes,no
snap__v,-0.04107194,-0.057527418,-0.056490028,0,0.125715138,snap,v,Haptic,yes,no
reggae__n,0,0.004212054,0.047006127,0,0.061844926,reggae,n,Haptic,yes,no
snap__n,-0.104063612,0.078458728,0.129436364,0,0.003468175,snap,n,Gustatory,yes,no
snap__a,0.009732747,0.015055827,-0.004089401,0,-0.038265673,snap,a,Auditory,yes,no
ing__v,0.082189838,-0.000743253,0,0,0.028362072,ing,v,Visual,yes,no
abels__n,0,0,0.133654602,0,0,abels,n,Gustatory,yes,no
pockmark__v,0.01954918,0,0,0,0.018160317,pockmark,v,Visual,yes,no
socially__r,-0.022382388,-0.018932833,-0.087517431,0,-0.009211372,socially,r,Olfactory,no,no
shift__n,-0.019567868,-0.023917513,0.01821425,0,0.010134935,shift,n,Gustatory,yes,no
titans__n,0.01961893,-0.030709816,0.014155242,0,0.037039697,titans,n,Haptic,yes,no
serial-killer__a,0.031690925,0.02168426,0,0,0.080162686,serial-killer,a,Haptic,yes,no
stifled__n,0.067533,0,0,0,0.066105594,stifled,n,Visual,yes,no
shift__v,-0.004312597,-0.017390448,-0.02539989,0,-0.037082602,shift,v,Olfactory,no,no
