"Word","DominantModality","VisualStrengthMean","AuditoryStrengthMean","HapticStrengthMean","GustatoryStrengthMean","OlfactoryStrengthMean","ModalityExclusivity"
"abrasive","Visual",3.6,1.81,3.59,0.165,0.275,0.379007238883144
"absorbent","Haptic",3.16,1.79,3.49,0.085,0.21,0.452491694352159
"aching","Haptic",1.035,0.695,4.125,0.35,0.085,0.640761300555115
"acidic","Gustatory",0.795,0.245,0.675,4.83,2.965,0.482885729331227
"acrid","Olfactory",1.565,0.205,0.395,3.15,4.165,0.375533428165007
"adhesive","Haptic",3.51,0.64,4.535,0.26,0.37,0.442317640972582
"alcoholic","Olfactory",1.12,0.175,1.505,3.23,4.345,0.397332062887089
"amber","Visual",4.65,0.075,0.84,0.65,0.47,0.679087452471483
"aromatic","Olfactory",1.195,0.21,0.475,1.515,4.865,0.589613679544015
"astringent","Olfactory",1.105,0.19,1.745,2.805,3.11,0.324805339265851
"azure","Visual",4.44,0.67,0.735,0.155,0.575,0.650648360030511
"babbling","Auditory",3.395,4.415,0.96,0.095,0.23,0.459086078639745
"balmy","Haptic",2.525,0.46,2.96,1.16,1.44,0.290697674418605
"banging","Auditory",3.885,4.395,2.025,0.035,0.5,0.388765046812305
"barbecued","Olfactory",4.34,1.895,1.675,4.13,4.46,0.169403892944039
"barking","Auditory",3.85,5,0.405,0.025,0.045,0.532940546331012
"beautiful","Auditory",2.915,3.18,1.01,0.115,0.87,0.473893585280955
"beeping","Auditory",2.555,4.89,0.4,0.025,0.025,0.594017094017094
"beery","Olfactory",2.42,1.295,0.725,2.93,4.445,0.387468671679198
"beige","Visual",4.825,0.09,0.275,0.3,0.215,0.828318584070797
"big","Visual",4.925,0.335,2.605,0.94,0.355,0.502449646162221
"bitter","Gustatory",1.2,0.205,1.98,2.95,1.78,0.331321665660833
"black","Visual",4.915,0.285,0.26,1.145,0.74,0.629476584022039
"black and white","Visual",4.745,0.585,0.305,0.065,0.115,0.810833333333333
"bland","Visual",3.125,0.12,0.675,2.35,1.29,0.379574468085106
"blaring","Auditory",1.865,4.99,1.405,0,0,0.644286636539703
"bleating","Auditory",3.39,4.275,0.25,0.055,0.14,0.558201058201058
"bleeping","Auditory",2.705,4.81,0.98,0.035,0.01,0.575194727381666
"bloody","Visual",4.93,0.265,2.725,1.405,1.915,0.418656056587091
"blotchy","Visual",4.825,0.065,2.315,0.045,0.045,0.656889495225102
"blue","Visual",4.865,0.17,0.06,0.075,0.105,0.908560311284047
"blunt","Haptic",3.79,0.45,4.565,0.18,0.115,0.505107832009081
"boiling","Visual",4.67,4.14,3,1.57,1.47,0.205862304021813
"booming","Auditory",3.52,4.84,1.555,0.185,0.795,0.464802795806291
"bouncy","Visual",4.085,2.31,3.92,0.015,0.075,0.398063200815494
"branching","Visual",4.625,1.22,1.795,0.025,0.12,0.59009009009009
"braying","Auditory",3.17,3.23,0.47,0.03,0.315,0.467668190725016
"breakable","Visual",3.825,1.6,3.645,0.025,0.075,0.407887323943662
"breezy","Haptic",3.025,2.885,3.395,0.25,1.125,0.290076335877863
"bright","Visual",4.93,0.105,0.885,0,0.075,0.822351959966639
"brilliant","Visual",2.745,2.42,1,0.01,0.01,0.586826347305389
"briny","Visual",2.895,0.56,1.98,2.81,2.595,0.216242191254205
"bristly","Haptic",4.31,1.46,4.56,0.145,0.08,0.424041646947468
"brittle","Haptic",2.865,1.48,3.8,0.53,0.11,0.419318181818182
"broad","Visual",4.49,0.28,2.375,0.015,0.14,0.631201044386423
"broken","Visual",4.845,3.255,3.65,0.825,0.15,0.367218282111899
"bronze","Visual",4.775,0.26,1.53,0.56,0.68,0.574385510996119
"brown","Visual",4.965,0.375,0.46,0.245,0.3,0.742472266244057
"bubbling","Visual",4.365,3.67,1.915,2.295,1.165,0.239478584729981
"bulky","Visual",4.475,0.25,4.435,0.025,0.095,0.479245283018868
"bumpy","Haptic",3.7,1.245,4.58,1.045,0.07,0.397707231040564
"burning","Visual",4.59,1.03,2.575,1.835,4.23,0.259515570934256
"burnt","Visual",4.335,0.88,3.415,2.52,3.41,0.233344839489127
"bursting","Visual",4.575,4.035,2.68,0.265,0.26,0.362786745964316
"buttery","Haptic",3.33,0.18,4.135,2.74,2.96,0.305996131528046
"buzzing","Auditory",3.09,4.695,0.815,0.025,0.125,0.539260969976905
"caramelised","Gustatory",3.915,0.78,2.295,4.36,3.385,0.24271186440678
"charred","Visual",4.205,1.38,2.635,2.58,3.055,0.191941391941392
"cheesy","Olfactory",2.88,0.245,1.845,2.875,3.57,0.300677021107129
"chequered","Visual",4.735,0.395,0.925,0.015,0.07,0.77406523468576
"chewy","Gustatory",2.51,0.81,3.56,4.43,0.68,0.313545150501672
"chilly","Haptic",2.605,0.705,4.37,0.275,1.2,0.45449500554939
"chiming","Auditory",2.71,4.885,0.53,0.06,0.11,0.57957957957958
"chirping","Auditory",2.395,4.71,0.39,0.01,0.05,0.684133915574964
"chocolatey","Visual",4.045,0.075,1.53,3.07,2.455,0.337166513339466
"chubby","Visual",4.965,0.325,4.175,0.085,0.15,0.503860010293361
"circular","Visual",4.84,0.3,3.905,0.975,0.155,0.457241720217499
"citrusy","Olfactory",1.505,0.16,0.695,3.37,3.67,0.388919667590028
"clammy","Haptic",3.005,0.625,4.065,0.455,1.11,0.404481792717087
"clamorous","Auditory",4.15,4.335,0.735,0.22,0.855,0.393968405935854
"clanging","Auditory",3.435,4.955,1.15,0.035,0.075,0.524240809802877
"clean","Visual",4.585,0.22,3.86,0.23,2.72,0.353832442067736
"clear","Visual",4.86,0.145,1.065,0.415,0.195,0.706716417910448
"clicking","Auditory",3.365,4.71,1.82,0.075,0.01,0.493956910141881
"cloudy","Visual",4.505,0.195,0.645,1.265,0.705,0.56700288184438
"cloying","Haptic",1.385,0.14,2.105,1.77,1.435,0.272160664819945
"coarse","Haptic",3.76,0.71,4.21,0.21,0.17,0.44249726177437
"coconutty","Olfactory",1.53,0.185,0.725,3.165,3.94,0.387313047962867
"cold","Haptic",2.41,0.315,4.68,3.64,0.755,0.364661654135338
"colorful","Visual",4.965,0.18,0.11,0.01,0.035,0.934472934472935
"colossal","Visual",4.87,1.035,1.84,0.045,0.02,0.624841571609632
"compact","Visual",4.265,0.26,3.67,0.075,0.01,0.534412955465587
"conical","Visual",4.635,0.575,2.745,0.68,0.435,0.466885604816639
"contoured","Visual",4.36,1.23,3.735,0.075,0.25,0.433474128827878
"cooing","Auditory",3.3,4.45,0.535,0.05,0.135,0.507497116493656
"cool","Haptic",2.27,0.51,4.535,2.325,0.84,0.381878557874763
"crackling","Auditory",3.69,4.75,1.965,0.665,1.725,0.306336707911511
"craggy","Visual",3.8,0.58,2.145,0.05,0.32,0.567102546455609
"crashing","Visual",4.7,3.875,2.41,0.335,0.7,0.357802013422819
"creaking","Auditory",2.475,4.6,1.81,0,0.145,0.473494595985589
"creamy","Haptic",3.57,0.325,3.805,2.535,1.195,0.298712446351931
"creased","Visual",4.465,1.35,3.805,0,0.14,0.461068702290076
"crimson","Visual",4.78,0.095,0.61,0.8,0.525,0.685185185185185
"crinkled","Visual",4.49,2.8,4.015,0.095,0.13,0.385972461273666
"crisp","Haptic",2.435,2.205,3.275,2.62,2.145,0.186485300570426
"crooked","Visual",4.78,0.725,2.92,0.055,0.025,0.554896142433234
"crowded","Visual",4.85,3.83,3.45,0.075,1.495,0.353260869565217
"crunching","Auditory",3.06,4.435,3.26,1.685,0.36,0.315646785437645
"crying","Auditory",4.64,4.78,1.625,0.125,0.225,0.416182387125615
"curly","Visual",4.815,0.15,3.935,1.475,0.42,0.428704566635601
"curved","Visual",4.86,0.15,4.165,0.165,0.08,0.507430997876858
"cute","Visual",4.915,2.735,2.515,0.09,0.83,0.431941923774955
"damp","Haptic",3.215,0.445,4.26,0.645,2.14,0.360586011342155
"dank","Visual",3.57,0.875,1.77,0.4,2.655,0.339111592632719
"dappled","Visual",4.465,0.295,1.075,0.165,0.115,0.709703947368421
"dark","Visual",4.77,0.22,0.375,2.08,1.365,0.504651162790698
"dazzling","Visual",4.78,1.9,0.485,0.015,0.15,0.650068212824011
"dead","Visual",3.285,2.74,1.47,0.265,1.4,0.430162412993039
"deafening","Auditory",1.815,4.76,0.525,0.07,0.125,0.595177664974619
"deep","Visual",4.74,1.47,0.955,0.045,0.175,0.643472498343274
"delicious","Olfactory",2,0.27,0.43,3.105,4.08,0.33761630482942
"dim","Visual",3.6,0.925,0.485,0.355,0.44,0.43921139101862
"dirty","Visual",4.485,0.195,3.54,0.895,3.32,0.341019417475728
"downy","Visual",3.76,0.76,3.085,0.165,0.4,0.428125
"drab","Visual",4.52,1.99,1.255,0.05,0.405,0.549819927971189
"dry","Visual",3.785,0.995,3.29,2.62,0.79,0.233754090696587
"dull","Visual",3.29,2.1,0.74,0.05,0.215,0.604884157795867
"dusty","Visual",4.705,0.565,3.535,0.71,1.585,0.37155756207675
"earthy","Visual",3.705,0.075,2.185,1.96,1.665,0.412518482010843
"echoing","Auditory",1.185,4.915,0.605,0.01,0.17,0.669167803547067
"eggy","Olfactory",1.505,0.445,0.88,1.395,3.585,0.461425422483468
"elastic","Haptic",3.84,0.455,4.58,1.065,0.19,0.431661750245821
"elegant","Visual",4.915,1.43,1.76,0.025,0.39,0.575686732904734
"empty","Visual",4.655,1.915,3.47,1.495,0.42,0.368765331152903
"enormous","Visual",4.93,1.325,2.415,0.075,0.85,0.507020280811232
"faint","Olfactory",2.335,1.36,0.995,0.805,2.435,0.324538258575198
"falling","Visual",4.705,2.55,2.335,0.66,1.385,0.34625322997416
"fat","Visual",4.725,0.475,3.705,1.915,1.27,0.358166189111748
"fatty","Gustatory",3.495,0.205,2.53,3.61,1.61,0.317186772240335
"fetid","Olfactory",3.19,0.33,1.905,0.45,3.53,0.353786622443339
"feverish","Visual",3.105,0.045,2.815,0.01,0.045,0.592334494773519
"filthy","Visual",4.53,0.11,3.76,0.56,3.85,0.344018764659891
"flaky","Visual",4.345,0.965,4.04,2.65,0.525,0.301924619085806
"flat","Visual",3.585,0.91,2.65,2.585,0.51,0.373962429008301
"fleshy","Visual",4.04,0.265,3.985,2.09,0.785,0.363753766681016
"flexible","Haptic",4.07,0.475,4.58,0.21,0.01,0.487987186332088
"flickering","Visual",4.865,1.465,0.295,0.01,0.06,0.721633888048412
"floppy","Visual",4.48,0.86,3.62,1.32,0.365,0.408782254413762
"floral","Visual",2.965,0.15,0.55,0.49,2.44,0.489316239316239
"flowery","Olfactory",2.67,0.075,1.3,0.48,3.05,0.48949256791389
"fluffy","Haptic",4.405,0.44,4.455,2.22,0.325,0.347643097643098
"foamy","Visual",4.725,1.14,3.945,0.68,1.36,0.342182890855457
"foggy","Visual",4.81,0.41,1.93,0.25,0.73,0.563035495716034
"forked","Visual",4.29,0.93,1.73,0.43,0.12,0.570876288659794
"fragrant","Olfactory",1.205,0.105,0.445,1.625,4.71,0.533913043478261
"freezing","Haptic",3.565,1.125,4.37,0.92,0.41,0.382423949782714
"fresh","Olfactory",1.89,1.24,1.835,2.295,4.38,0.367860600193611
"frosty","Visual",4.265,0.955,3.795,0.305,1.055,0.401027077497666
"fruity","Olfactory",1.89,0.24,0.45,3.165,4.19,0.416008425487098
"fuzzy","Visual",4.67,0.23,2.345,0.025,0.05,0.622175141242938
"gamy","Gustatory",2.16,0.515,1.09,2.8,1.315,0.278658536585366
"garlicky","Olfactory",1.16,0.115,0.34,3.475,4.59,0.493929359823399
"gigantic","Visual",4.955,2.495,2.68,0.17,0.87,0.427097353073127
"giggling","Auditory",4.54,4.81,0.9,0.125,0.21,0.443026004728132
"glamorous","Visual",4.825,2.19,2.01,0.55,0.69,0.419573643410853
"glistening","Visual",4.895,1.115,0.71,0.125,0.245,0.67208480565371
"glittery","Visual",4.805,0.1,2.12,0.06,0.09,0.6625
"glossy","Visual",4.65,0.36,3.805,0.97,0.63,0.411340701585776
"glowing","Visual",4.845,0.36,1.13,0.125,0.075,0.726356589147287
"gold","Visual",4.835,0.275,0.965,0.745,0.42,0.630089717046239
"gooey","Haptic",3.96,0.685,4.38,3.555,0.815,0.279183981866264
"gorgeous","Visual",2.905,2.63,1.265,0.05,0.365,0.528138528138528
"grainy","Visual",4.34,0.73,3.025,1.72,0.145,0.445673076923077
"granular","Visual",3.98,0.77,3.97,2.09,0.645,0.294219904389396
"grassy","Visual",3.35,0.305,2.29,2.4,2.23,0.22710027100271
"gray","Visual",4.975,0.095,0.195,0.02,0.01,0.93796992481203
"greasy","Haptic",4.125,0.345,4.44,2.555,2.015,0.300550458715596
"green","Visual",4.86,0.11,0.9,0.87,1.07,0.607188703465982
"grinding","Auditory",3.8,4.165,1.895,0.37,0.98,0.330574912891986
"gritty","Haptic",3.835,1.485,4.28,0.665,0.28,0.368663594470046
"groaning","Auditory",2.395,4.78,1.21,0,0.01,0.638184245660881
"grotesque","Visual",4.78,1.88,1.195,0.06,0.495,0.567409144196952
"growling","Auditory",2.29,4.76,1.435,0.07,0.125,0.439962476547842
"gurgling","Auditory",3.78,4.675,0.86,0.33,1.315,0.39356884057971
"hairy","Visual",4.635,0.285,4.38,0.56,0.28,0.423517688091679
"handsome","Visual",4.875,0.7,1.325,0.06,0.51,0.642905178211163
"happy","Auditory",3.04,3.24,1.005,0.065,0.1,0.518299246501615
"hard","Haptic",2.63,1.145,2.82,2.645,1.85,0.163096397273612
"harsh","Auditory",3,4.42,2.33,0.21,0.315,0.413759213759214
"heavy","Visual",3.945,1.28,3.435,0,0.075,0.464804469273743
"herby","Olfactory",3.26,0.165,1.145,3.105,3.27,0.30576070901034
"high","Visual",2.78,2.585,1.01,0,0.025,0.61547619047619
"hissing","Auditory",3.68,4.845,0.625,0.05,0.545,0.478781827259111
